Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity,Year,Latitude,Longitude,City,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Finland,1,7.808700085,1.0639267,0.954329729,0.719008255,0.949172199,0.195444584,-0.059482019,2020,61.92410999999999,25.7481511,Jyvaskyla,30.42,24.73,100.0,1029.0,3.36,90.0
Denmark,2,7.645599842,1.07740011,0.955990791,0.72402504,0.951444268,0.168489456,0.06620177599999999,2020,56.26392,9.501785,Kjellerup,42.8,39.51,93.0,1027.0,2.24,98.0
Switzerland,3,7.559899807000001,1.09799328,0.942846596,0.741024475,0.921336651,0.303728431,0.105911039,2020,46.818188,8.227511999999999,Sarnen,39.11,35.37,100.0,1028.0,2.39,90.0
Iceland,4,7.504499912000001,1.07725592,0.974669576,0.73,0.948891878,0.7117097379999999,0.246944219,2020,64.96305100000001,-19.020835,Dalvik,32.0,24.01,86.0,990.0,6.93,90.0
Netherlands,6,7.448900223,1.08127117,0.93913883,0.723009186,0.908547819,0.364717126,0.20761244,2020,52.132633,5.2912659999999985,Soest,49.5,47.59,98.0,1025.0,3.04,81.0
Sweden,7,7.353499889,1.07587938,0.926311195,0.72600769,0.939144194,0.250880182,0.111614622,2020,60.12816100000001,18.643501,Norrtälje,46.62,42.12,86.0,1031.0,5.01,100.0
New Zealand,8,7.299600123999999,1.05009432,0.949118972,0.7320262909999999,0.936217487,0.22113885,0.191598073,2020,-40.900557,174.88597099999998,Porirua,55.69,49.8,71.0,1014.0,8.99,82.0
Austria,9,7.294199944,1.07428236,0.928045869,0.730025024,0.899989486,0.499954879,0.085429221,2020,47.516231,14.550072,Hall,66.69,67.26,93.0,1017.0,8.05,90.0
Luxembourg,10,7.237500191,1.14506807,0.906912208,0.725999985,0.90563643,0.367084295,-0.004620588,2020,49.815273,6.1295829999999984,Schieren,49.03,47.1,93.0,1023.0,2.24,84.0
Canada,11,7.23210001,1.06923685,0.927176654,0.736016007,0.933913231,0.390843362,0.124770768,2020,56.130366,-106.34677099999999,La Ronge,21.2,12.06,85.0,1009.0,6.93,100.0
Australia,12,7.222799778,1.07205963,0.944854617,0.73604538,0.915431738,0.41516912,0.19046016,2020,-25.274398,133.775136,Alice Springs,96.8,87.75,13.0,1013.0,11.41,3.0
United Kingdom,13,7.164500237,1.06001349,0.93668282,0.7230160520000001,0.834743679,0.435915917,0.263732493,2020,55.378051,-3.435973,Moffat,50.41,42.26,10.0,1010.0,3.0,100.0
Israel,14,7.128600121,1.04175253,0.913571239,0.7320025640000001,0.7475805879999999,0.78085506,0.10259372,2020,31.046051000000002,34.851612,Yeruham,57.74,56.61,77.0,1017.0,2.44,0.0
Costa Rica,15,7.121399879,0.96581564,0.901545942,0.712998505,0.934738934,0.7863324279999999,-0.10242971,2020,9.748917,-83.753428,San Rafael,68.59,66.38,56.0,1016.0,5.21,59.0
Ireland,16,7.093699932000001,1.11609783,0.942081571,0.723007889,0.8869829770000001,0.357184172,0.145784974,2020,53.1423672,-7.692053599999999,Kilcormac,55.0,48.15,94.0,1009.0,14.0,100.0
Germany,17,7.075799942000001,1.07328186,0.898874462,0.722020187,0.867371082,0.456422031,0.08017938599999999,2020,51.165690999999995,10.451526,Mühlhausen,42.66,39.04,100.0,1025.0,3.44,86.0
United States,18,6.9395999910000015,1.09257689,0.914219022,0.682994995,0.842619538,0.6997153159999999,0.149891734,2020,37.09024,-95.712891,Coffeyville,36.63,30.06,86.0,1016.0,5.55,1.0
Czech Republic,19,6.9109001160000005,1.04041634,0.914430678,0.700479355,0.818537354,0.85844624,-0.230861515,2020,49.81749199999999,15.472961999999999,Golčův Jeníkov,39.67,34.39,93.0,1029.0,4.7,90.0
Belgium,20,6.863500117999999,1.06736393,0.911632538,0.72001648,0.813582063,0.612297952,-0.078691199,2020,50.503887,4.469936,Brunehaut,48.76,46.76,93.0,1025.0,2.24,90.0
United Arab Emirates,21,6.790800095,1.11099987,0.8491811159999999,0.670827866,0.941345513,0.594502211,0.123450845,2020,23.424076,53.847818000000004,Abu Dhabi,75.43,82.02,88.0,1014.0,3.36,0.0
Malta,22,6.7727999689999985,1.05338383,0.93037951,0.72199997,0.924911439,0.658547282,0.214965805,2020,35.937496,14.375416,Mellieħa,59.13,59.5,87.0,1023.0,2.24,0.0
France,23,6.663799762999999,1.05842228,0.937103748,0.738019333,0.8254676459999999,0.583521128,-0.130641967,2020,46.227638,2.213749,Guéret,43.65,38.89,100.0,1026.0,5.82,90.0
Taiwan Province of China,25,6.45539999,1.07756853,0.894309103,0.695999985,0.77153033,0.73188293,-0.07319869799999999,2020,23.69781,120.96051499999999,Chichi,74.01,78.89,89.0,1011.0,5.39,54.0
Uruguay,26,6.440100192999999,0.99481926,0.92281127,0.690025482,0.892395437,0.635994136,-0.101103112,2020,-32.522779,-55.765834999999996,Paso de los Toros,54.27,50.07,93.0,1017.0,8.72,38.0
Saudi Arabia,27,6.406499863,1.07978125,0.874067068,0.663051453,0.854191244,0.682619512,-0.16869506199999998,2020,23.885942,45.079162,Riyadh,68.0,66.67,56.0,1017.0,3.36,0.0
Spain,28,6.4008998870000005,1.04629269,0.921125412,0.7440270999999999,0.751989543,0.765859902,-0.050961714000000005,2020,40.46366700000001,-3.7492199999999998,Pozuelo de Alarcón,47.34,45.01,93.0,1026.0,2.24,0.0
Guatemala,29,6.398900032,0.89248056,0.8166214820000001,0.648089447,0.908147573,0.783237457,-0.042938665,2020,15.783470999999999,-90.230759,Chisec,71.82,77.63,89.0,1014.0,1.83,43.0
Italy,30,6.38740015,1.04818363,0.8898785709999999,0.736016846,0.66465199,0.873404682,-0.04346099900000002,2020,41.87194,12.56738,Ciampino,51.75,49.41,87.0,1023.0,3.36,0.0
Singapore,31,6.3770999910000015,1.13955212,0.910268962,0.768045807,0.926645339,0.109784193,0.029879224,2020,1.352083,103.819836,Singapore,87.53,95.31,74.0,1010.0,8.05,75.0
Brazil,32,6.375599861,0.95664349,0.896723807,0.664801636,0.799804807,0.7706012729999999,-0.101812392,2020,-14.235004,-51.92528,Mozarlândia,76.6,80.46,71.0,1010.0,3.71,21.0
Slovenia,33,6.363399982000001,1.03923225,0.939575672,0.711029892,0.936142623,0.817071021,-0.080603383,2020,46.151241,14.995463,Zagorje ob Savi,41.7,38.39,90.0,1029.0,1.61,100.0
El Salvador,34,6.34829998,0.89090757,0.8060922620000001,0.661082611,0.833805263,0.754319906,-0.121072978,2020,13.794185,-88.89653,San Martín,69.8,66.31,56.0,1017.0,8.05,20.0
Kosovo,35,6.325200081,0.92044296,0.8207265140000001,0.638855553,0.861535907,0.922328293,0.190933764,2020,42.6026359,20.902977,Kosovo Polje,41.45,37.18,87.0,1028.0,2.93,75.0
Panama,36,6.3048000339999986,1.00342341,0.902094483,0.696030121,0.880366504,0.851588905,-0.153927714,2020,8.537981,-80.782127,Ola,7.57,-2.78,84.0,1010.0,7.49,2.0
Slovakia,37,6.280600071,1.03477497,0.922493756,0.689063416,0.7499526740000001,0.918096125,-0.124409303,2020,48.669026,19.699023999999998,Brezno,36.0,31.42,75.0,1028.0,1.01,0.0
Uzbekistan,38,6.257599831,0.87403717,0.926595807,0.651075745,0.974998116,0.501497388,0.248427153,2020,41.377491,64.585262,Nurota,41.0,35.91,65.0,1020.0,2.24,100.0
Chile,39,6.228499889,1.00320549,0.879713595,0.699006195,0.7448962929999999,0.838239431,-0.065668367,2020,-35.675146999999996,-71.542969,San Clemente,53.35,50.85,64.0,1017.0,1.01,0.0
Bahrain,40,6.227300167,1.06763802,0.876342118,0.685,0.905855775,0.7393470999999999,0.13372919,2020,26.0667,50.5577,Sitrah,75.2,81.41,83.0,1014.0,2.24,0.0
Lithuania,41,6.215499877999999,1.0343626,0.926107109,0.67294075,0.747381449,0.809583843,-0.219725296,2020,55.169438,23.881275,Kėdainiai,39.2,35.22,93.0,1033.0,2.24,90.0
Trinidad and Tobago,42,6.1918997760000005,1.02600021,0.91529417,0.635,0.8579071159999999,0.912230611,0.000526841,2020,10.691803,-61.222503,Arima,77.85,85.26,88.0,1013.0,4.18,20.0
Poland,43,6.1862998010000005,1.02651243,0.874257445,0.693111343,0.8620557790000001,0.6869270209999999,-0.205084071,2020,51.919438,19.145135999999997,Łęczyca,43.34,39.43,88.0,1031.0,3.0,13.0
Colombia,44,6.163400172999999,0.95003691,0.884440243,0.67699585,0.8361799120000001,0.86457181,-0.161235645,2020,4.570868,-74.297333,San Antonio del Tequendama,53.6,51.49,93.0,1029.0,4.7,90.0
Cyprus,45,6.15899992,1.04057026,0.8059962390000001,0.7370222470000001,0.7798582909999999,0.8562717440000001,0.043731496,2020,35.126413,33.429859,Géri,60.28,59.63,87.0,1016.0,4.7,20.0
Nicaragua,46,6.13710022,0.84931602,0.8574970359999999,0.675071793,0.8639028670000001,0.665950119,0.020959141,2020,12.865416,-85.207229,Río Blanco,66.65,67.86,69.0,1014.0,1.28,31.0
Romania,47,6.123700142000001,1.0107584,0.8251615170000001,0.672072372,0.842823207,0.934300244,-0.19781521,2020,45.943160999999996,24.96676,Şoarş,36.63,31.66,90.0,1026.0,3.0,12.0
Kuwait,48,6.102099895,1.10898247,0.8464752440000001,0.667676468,0.8723664879999999,0.7608490590000001,-0.100184701,2020,29.311659999999996,47.481766,Doha,75.9,81.28,73.0,1015.0,1.12,0.0
Mauritius,49,6.101299762999999,0.99567862,0.910357833,0.6640434270000001,0.889534533,0.8053430909999999,-0.018318573,2020,-20.348404000000002,57.55215200000001,Midlands Province,69.4,66.24,72.0,1016.0,11.41,63.0
Kazakhstan,50,6.0578999520000005,1.01146584,0.934744895,0.646099625,0.811601937,0.7644908429999999,-0.068488635,2020,48.019573,66.923684,Zhezkazgan,40.69,27.27,65.0,1013.0,16.96,100.0
Estonia,51,6.0218000410000005,1.03400173,0.934729993,0.6860495759999999,0.87770915,0.623073816,-0.111697771,2020,58.595271999999994,25.0136071,Vändra,39.99,37.15,99.0,1032.0,1.01,100.0
Philippines,52,6.006000042,0.89935455,0.8467300529999999,0.619267616,0.915463448,0.7336341140000001,-0.105463006,2020,12.879721,121.77401699999999,Bansud,86.49,93.61,66.0,1007.0,4.45,100.0
Hungary,53,6.000400066,1.02492437,0.921934128,0.6760997009999999,0.718964577,0.892916501,-0.194323018,2020,47.162494,19.5033041,Táborfalva,39.72,34.81,100.0,1031.0,4.7,90.0
Thailand,54,5.9987998010000005,0.97417917,0.8899732229999999,0.672505951,0.905063033,0.8862723109999999,0.268685192,2020,15.870032,100.992541,Nong Phai,73.94,75.42,67.0,1017.0,4.74,98.0
Argentina,55,5.974699974,0.9810955,0.900567949,0.688038025,0.831132412,0.8420098420000001,-0.194913864,2020,-38.416097,-63.61667199999999,Bahía Blanca,62.11,61.93,83.0,1016.0,4.18,87.0
Latvia,57,5.949999809,1.01753197,0.918288589,0.668074646,0.671237648,0.7955800890000001,-0.186888844,2020,56.879635,24.603189,Ogre,36.07,30.99,94.0,1033.0,3.36,90.0
Ecuador,58,5.925199986,0.92460585,0.836418986,0.685000382,0.8598289490000001,0.8012151120000001,-0.127014965,2020,-1.8312389999999998,-78.18340599999998,Palora,65.95,68.94,92.0,1014.0,3.0,69.0
Portugal,59,5.9109001160000005,1.02637425,0.8865907190000001,0.724020233,0.8887478109999999,0.8926295040000001,-0.220714301,2020,39.39987199999999,-8.224454,Tramagal,54.0,52.79,91.0,1022.0,3.0,0.0
Jamaica,60,5.889800072000001,0.90062504,0.915701866,0.670999985,0.8580685259999999,0.8888900279999999,-0.12510676699999998,2020,18.109581,-77.297508,May Pen,76.89,84.88,88.0,1012.0,2.24,20.0
South Korea,61,5.872399807000001,1.05105667,0.7993871570000001,0.736027298,0.6129651070000001,0.789067447,-0.043404032,2020,35.907757000000004,127.766922,Seoul,55.76,50.95,34.0,1032.0,1.19,1.0
Japan,62,5.870800018,1.0579689,0.883545935,0.7500096890000001,0.8099613790000001,0.654558063,-0.246910349,2020,36.204824,138.252924,Kamimaruko,44.33,33.87,54.0,1029.0,11.41,40.0
Peru,63,5.796800137000001,0.94563131,0.8310752509999999,0.68100235,0.8247660990000001,0.8937149640000001,-0.16238822,2020,-9.189967,-75.015152,Campoverde,75.54,83.16,89.0,1009.0,1.95,75.0
Serbia,64,5.77820015,0.96809807,0.881475747,0.682102051,0.726495862,0.843509018,-0.073676221,2020,44.016521000000004,21.005859,Kragujevac,46.4,43.79,93.0,1029.0,2.35,90.0
Bolivia,65,5.747499942999999,0.88511152,0.803108692,0.636004715,0.875873327,0.8226062059999999,-0.09168113,2020,-16.290154,-63.588652999999994,Ascension,72.68,77.74,94.0,1012.0,5.35,75.0
Pakistan,66,5.69329977,0.84827271,0.689062297,0.582531357,0.734833717,0.7457054259999999,0.04489987,2020,30.375321000000003,69.34511599999999,Kohlu,64.78,60.17,26.0,1020.0,1.12,59.0
Paraguay,67,5.692100048,0.93899822,0.8987278940000001,0.656399384,0.885923445,0.8347885009999999,0.007997713,2020,-23.442503,-58.44383199999999,Pozo Colorado,69.03,71.4,93.0,1010.0,6.69,73.0
Dominican Republic,68,5.689199924,0.96648808,0.882085383,0.658074875,0.8662027720000001,0.755999923,-0.131263286,2020,18.735692999999998,-70.162651,Villa Altagracia,77.49,85.24,91.0,1012.0,4.25,100.0
Bosnia and Herzegovina,69,5.674099922000001,0.94558172,0.829204142,0.67808136,0.651352704,0.933769107,0.098274559,2020,43.915886,17.679076000000002,Voljevac,37.24,31.23,100.0,1028.0,5.82,90.0
Moldova,70,5.607500076,0.87767143,0.843313575,0.650130158,0.721609175,0.913314283,-0.037741039,2020,47.411631,28.369884999999996,Teleneşti,42.22,38.19,70.0,1033.0,1.12,90.0
Montenegro,72,5.54610014,0.97518606,0.855314612,0.685053482,0.649565637,0.7831215859999999,-0.075600356,2020,42.708678000000006,19.37439,Podgorica,42.8,35.89,87.0,1025.0,8.05,0.0
Russia,73,5.546000004,1.01288719,0.903150737,0.641004562,0.729892612,0.864802599,-0.151153743,2020,61.52401,105.31875600000001,Yerbogachën,29.68,21.22,98.0,1007.0,7.96,100.0
