Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health Life Expectancy,Freedom,Trust (Government Corruption),Generosity,Year,Latitude,Longitude,City,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Kyrgyzstan,74,5.541500092000001,0.81484051,0.8872284890000001,0.641060104,0.909374893,0.888396084,0.15477205800000002,2020,41.20438,74.766098,At-Bashi,40.8,34.61,55.0,1021.0,3.22,100.0
Belarus,75,5.539899826,0.97799454,0.90674746,0.66104332,0.6391630770000001,0.63571167,-0.164926544,2020,53.709807,27.953389,Minsk,37.4,32.18,100.0,1033.0,4.47,75.0
Greece,77,5.514999866,1.01323261,0.8143803479999999,0.724052582,0.5413451189999999,0.8599314090000001,-0.30090737300000003,2020,39.074208,21.824312,Rentina,53.31,50.95,77.0,1025.0,2.64,66.0
Hong Kong S.A.R. of China,78,5.510399818,1.09346714,0.8459690809999999,0.767717056,0.7798337940000001,0.420607209,0.134979904,2020,22.319303899999998,114.1693611,Shenzhen,74.61,75.16,48.0,1021.0,1.01,0.0
Croatia,79,5.504700184,1.00708752,0.874623716,0.702149048,0.714838803,0.916495264,-0.128538325,2020,45.1,15.200000099999999,Ogulin,46.11,36.7,57.0,1025.0,10.29,0.0
Libya,80,5.488800049,0.97898159,0.8259429340000001,0.622999992,0.773157001,0.668779135,-0.085054487,2020,26.3351,17.228331,Sabha,54.43,49.33,67.0,1020.0,6.44,11.0
Mongolia,81,5.456200123,0.94121866,0.937142491,0.623044853,0.693351328,0.863511205,0.098093867,2020,46.862496,103.84665600000001,Bulgan,38.59,25.92,63.0,1021.0,14.99,26.0
Malaysia,82,5.384300232,1.02625189,0.816509426,0.671021576,0.8946268559999999,0.8393023009999999,0.114726797,2020,4.210483999999999,101.97576600000001,Kuala Lipis,90.79,100.31,59.0,1010.0,0.92,60.0
Indonesia,84,5.285600185,0.93697519,0.808379889,0.621558495,0.8706144090000001,0.876296401,0.519586504,2020,-0.789275,113.921327,Sampit,85.62,94.48,73.0,1010.0,3.65,45.0
Ivory Coast,85,5.233300208999999,0.82255611,0.658048689,0.495037727,0.727909327,0.7907719609999999,-0.043991156,2020,7.5399889999999985,-5.5470799999999985,Béoumi,73.4,80.19,100.0,1013.0,4.7,97.0
Benin,86,5.21600008,0.76743197,0.468671143,0.543124657,0.735182583,0.7405325770000001,-0.003537213,2020,9.30769,2.315834,Bétérou,73.67,78.24,77.0,1010.0,2.06,51.0
Congo (Brazzaville),88,5.194399834,0.85369873,0.6402280929999999,0.579244804,0.7190585140000001,0.7517790790000001,-0.123674095,2020,-4.2633597000000005,15.242885300000001,Brazzaville,75.2,82.04,83.0,1013.0,1.12,91.0
Azerbaijan,89,5.164800167,0.9687727,0.819308281,0.655084,0.786824107,0.55253756,-0.240255281,2020,40.143105,47.576927000000005,Ucar,50.9,45.9,81.0,1022.0,6.93,75.0
Macedonia,90,5.1598000530000006,0.95105915,0.820392311,0.675044251,0.738840938,0.8974905009999999,-0.019877451,2020,41.608635,21.745275,Čaška,35.6,31.96,93.0,1030.0,0.58,3.0
Ghana,91,5.1479997630000005,0.83506451,0.728601098,0.572039871,0.794796526,0.8479647640000001,0.094170853,2020,7.946527000000001,-1.0231940000000002,Ejura,72.73,78.46,88.0,1010.0,2.48,87.0
Nepal,92,5.137199879,0.79253573,0.785512447,0.637791786,0.797565043,0.7380991579999999,0.154168829,2020,28.394857000000002,84.12400799999998,Pokhara,72.99,68.81,32.0,1023.0,3.96,0.0
Turkey,93,5.131800175,1.01294193,0.826313555,0.669028168,0.6088304520000001,0.748197377,-0.17104643600000002,2020,38.963745,35.243322,Kayseri Province,32.0,27.46,89.0,1024.0,1.01,20.0
China,94,5.123899937,0.96885681,0.798760593,0.692891922,0.898517907,0.7539710999999999,-0.18142575,2020,35.86166,104.195397,Lanzhou,57.99,54.45,48.0,852.0,1.83,0.0
Turkmenistan,95,5.119100093999999,0.97480326,0.958966196,0.622117081,0.8264570240000001,0.883691847,0.187671542,2020,38.969719,59.556278000000006,Annau,51.8,48.25,81.0,1020.0,4.7,75.0
Morocco,97,5.094799995,0.89403133,0.5926284789999999,0.658962402,0.772072434,0.8157246109999999,-0.240377247,2020,31.791702,-7.092619999999998,Marrakesh,57.2,52.59,62.0,1019.0,5.82,0.0
Cameroon,98,5.084899902,0.81186476,0.700386405,0.527049408,0.7630518079999999,0.8513365979999999,-0.00149645,2020,7.3697219999999986,12.354722,Tignère,65.3,64.78,60.0,1012.0,1.59,20.0
Venezuela,99,5.053199768,0.89777937,0.890408158,0.6650534060000001,0.62327832,0.837038398,-0.16909050899999994,2020,6.42375,-66.58973,Puerto Carreño,78.22,85.51,87.0,1010.0,4.43,45.0
Algeria,100,5.005099773,0.95379648,0.8033851390000001,0.659051743,0.466610909,0.7354851370000001,-0.121105164,2020,28.033886,1.6596259999999998,Adrar,75.34,68.65,20.0,1015.0,5.41,0.0
Senegal,101,4.980800152,0.81189823,0.723616004,0.595991516,0.6905961629999999,0.808785141,-0.052335154,2020,14.497401000000002,-14.452361999999999,Koungheul,74.88,73.96,56.0,1010.0,6.24,0.0
Guinea,102,4.949299812,0.77509904,0.637573481,0.544678001,0.7068467740000001,0.761794448,0.076328471,2020,9.945587,-9.696645,Tokonou,65.95,65.19,57.0,1011.0,1.61,0.0
Niger,103,4.909599781,0.68421669,0.617435038,0.535000954,0.759772122,0.722530186,0.013860817,2020,17.607789,8.081666,Agadez,59.9,51.4,35.0,1017.0,8.79,0.0
Laos,104,4.888599873,0.87985802,0.7375022170000001,0.5870992279999999,0.907213569,0.634679317,0.11137148,2020,19.856270000000002,102.495496,Luang Prabang,71.6,68.95,46.0,1019.0,4.7,40.0
Albania,105,4.882699966000001,0.94179306,0.671070457,0.687081375,0.7819942240000001,0.896303713,-0.042309489000000006,2020,41.153332,20.168331,Elbasan,41.0,37.98,93.0,1024.0,1.12,0.0
Cambodia,106,4.8484001160000005,0.82498903,0.773080647,0.6152996829999999,0.959704638,0.8227690459999999,0.051911179,2020,12.565679,104.990963,Kampong Thom,69.66,72.84,97.0,1012.0,6.82,100.0
Bangladesh,107,4.832799911,0.82870636,0.687292993,0.64503067,0.90062499,0.661843538,-0.033664726,2020,23.684994,90.35633100000001,Dhaka,77.0,78.84,69.0,1017.0,6.93,0.0
Gabon,108,4.829299927,0.96805372,0.787886858,0.597153397,0.7048292159999999,0.8491509559999999,-0.222261623,2020,-0.803689,11.609444,Booué,70.12,76.19,94.0,1012.0,1.32,79.0
South Africa,109,4.814099789,0.94033709,0.8525322679999999,0.56506012,0.7593300940000001,0.843423843,-0.109777324,2020,-30.559482,22.937506,Carnarvon,73.4,62.4,43.0,1017.0,19.46,5.0
Iraq,110,4.7848000530000006,0.96610956,0.7476949690000001,0.5990354920000001,0.633182645,0.82226181,-0.06956476,2020,33.223191,43.679291,Baghdad,62.6,61.59,77.0,1015.0,4.7,0.0
Burkina Faso,112,4.768700123,0.7468545,0.7129436140000001,0.538894539,0.665563583,0.739795029,-0.019080516,2020,12.238333,-1.561593,Ouagadougou,71.6,68.49,43.0,1012.0,4.7,17.0
Gambia,113,4.750599861,0.73218145,0.6931687,0.550120163,0.733163178,0.6907178159999999,0.34319871700000004,2020,13.443182,-15.310139000000001,Farafenni,75.38,78.82,82.0,1011.0,7.0,0.0
Mali,114,4.729300021999999,0.76298523,0.7314689759999999,0.517269821,0.71156615,0.839328408,-0.044366926,2020,17.570692,-3.9961660000000006,Goundam,74.1,64.53,19.0,1013.0,9.95,0.0
Nigeria,115,4.724100113,0.85766249,0.73721689,0.49861908,0.759578407,0.861874342,0.033745807,2020,9.081999,8.675277000000001,Kagoro,66.65,62.67,43.0,1012.0,4.38,16.0
Georgia,117,4.672599792,0.92261009,0.629033029,0.6449520870000001,0.8016415240000001,0.665944695,-0.22892037,2020,32.1656221,-82.9000751,Dublin,51.67,45.7,50.0,1020.0,4.7,75.0
Iran,118,4.672399998,0.98137197,0.6946896909999999,0.6600614929999999,0.647873282,0.714635968,0.117891103,2020,32.427908,53.68804599999999,Ardakān,56.97,52.81,38.0,1019.0,0.94,29.0
Jordan,119,4.6333999630000005,0.90259991,0.80216372,0.667997513,0.75104779,0.700344324,-0.162565202,2020,37.997370399999994,-97.3342624,Newton,60.39,59.25,82.0,1019.0,4.7,1.0
Mozambique,120,4.623600006,0.7069346,0.723874032,0.54205822,0.864451885,0.683019102,0.032375867999999995,2020,-18.665695,35.529562,Dondo,78.42,82.38,83.0,1014.0,9.17,40.0
Kenya,121,4.583000183,0.80297756,0.702652037,0.600969315,0.829747558,0.831499159,0.294681519,2020,-0.023559,37.906193,Mauá,68.52,71.64,82.0,1018.0,2.24,96.0
Namibia,122,4.571100235,0.92031412,0.846880972,0.5650148770000001,0.767520964,0.8514497879999999,-0.18530646,2020,-22.957639999999998,18.49041,Gobabis,66.2,60.87,24.0,1022.0,2.24,0.0
Ukraine,123,4.56069994,0.90106907,0.878879368,0.64606781,0.663081884,0.920636714,-0.030933706,2020,48.379433,31.1655799,Lypnyazhka,36.05,29.88,86.0,1033.0,4.68,0.0
Liberia,124,4.557899952,0.70543804,0.70928055,0.560963135,0.735268712,0.8563759329999999,0.04227322,2020,6.4280550000000005,-9.429499000000002,Gbarnga,70.72,77.86,97.0,1011.0,0.69,100.0
Palestinian Territories,125,4.552800179,0.83892231,0.825295925,0.6225,0.645791829,0.824199975,-0.162079096,2020,31.952162,35.233154,Jerusalem,55.99,54.63,85.0,1012.0,3.33,0.0
Uganda,126,4.43200016,0.75003896,0.7649946209999999,0.557082024,0.7317139509999999,0.8367378120000001,0.099487431,2020,1.373333,32.290275,Nakasongola,63.81,66.6,97.0,1013.0,2.89,23.0
Chad,127,4.422699928,0.74679637,0.632388055,0.482205391,0.587305248,0.8027608390000001,0.017834719,2020,15.454166,18.732207,Ati,75.96,67.05,26.0,1011.0,11.39,1.0
Mauritania,129,4.374599934,0.82339191,0.7908192279999999,0.570101776,0.551522553,0.746223509,-0.106008142,2020,21.00789,-10.940835,Atar,78.89,72.14,18.0,1014.0,5.59,0.0
Sri Lanka,130,4.327000141,0.93899698,0.825374067,0.6720006559999999,0.837633669,0.859001756,0.081129618,2020,7.873053999999999,80.77179699999998,Sigiriya,82.31,89.58,75.0,1010.0,4.03,96.0
Congo (Kinshasa),131,4.31099987,0.66942563,0.6721590159999999,0.529000015,0.700793564,0.809403598,0.083637655,2020,-4.038333000000001,21.758664000000003,Mweka,64.6,68.79,99.0,1013.0,1.41,95.0
Swaziland,132,4.308100224,0.9162674,0.7702901959999999,0.511882362,0.646822274,0.708263338,-0.19920142,2020,-26.522503000000004,31.465866,Sidvokodvo,60.93,59.88,93.0,1018.0,6.93,100.0
Myanmar,133,4.308000088,0.86804819,0.78440702,0.589617119,0.895075202,0.645124316,0.560663998,2020,21.916221,95.955974,Sagaing,75.2,82.72,94.0,1016.0,3.36,20.0
Comoros,134,4.288599968,0.78336301,0.625662446,0.573490105,0.547612607,0.780622602,0.09000840800000001,2020,-11.6455,43.3333,Moroni,78.91,83.52,73.0,1013.0,4.92,57.0
Togo,135,4.187200069,0.73577113,0.551312625,0.5471989820000001,0.6498286129999999,0.7577334640000001,0.002667875,2020,8.619543,0.824782,Sotouboua,73.4,80.19,88.0,1010.0,1.16,0.0
Ethiopia,136,4.186200142,0.75093856,0.743307352,0.5863959120000001,0.740795195,0.7536900040000001,0.043377332000000005,2020,9.145,40.489672999999996,Gelemso,60.4,59.61,70.0,1017.0,1.83,55.0
Madagascar,137,4.165599823,0.72816858,0.668195903,0.5910542679999999,0.5575740929999999,0.8174856309999999,-0.011823639,2020,-18.766947000000002,46.869107,Arivonimamo,59.0,58.55,93.0,1020.0,4.7,75.0
Egypt,138,4.151400089,0.93165417,0.7354478240000001,0.6178015139999999,0.708354175,0.787726879,-0.196878314,2020,26.820553000000004,30.802497999999996,Assiut,57.2,53.26,54.0,1019.0,3.31,0.0
Sierra Leone,139,3.926399946,0.72688031,0.636142015,0.508651428,0.715315044,0.861330688,0.088660747,2020,8.460555000000001,-11.779889,Yele,64.17,58.91,38.0,1011.0,4.74,0.0
Burundi,140,3.775300026,0.64926424,0.490325719,0.534000015,0.626350224,0.606934547,-0.017551597,2020,-3.3730559999999996,29.918885999999997,Gitega Province,61.3,62.58,92.0,1015.0,2.86,100.0
Zambia,141,3.759399891,0.822472,0.698824465,0.5529937739999999,0.806500256,0.801289678,0.078037128,2020,-13.133897,27.849332,Kalulushi,65.32,62.62,49.0,1012.0,3.0,26.0
Haiti,142,3.720799923,0.74113293,0.593247831,0.5559862520000001,0.537825167,0.6847672459999999,0.40053457,2020,18.971187,-72.28521500000001,Verrettes,75.67,80.62,81.0,1013.0,4.25,98.0
Lesotho,143,3.652800083,0.79604883,0.7804957029999999,0.48003624,0.738125861,0.857392073,-0.145732045,2020,-29.609988,28.233608,Thaba-Tseka,49.51,46.98,82.0,1021.0,2.13,62.0
India,144,3.573299885,0.8849824000000001,0.592200935,0.602151871,0.8814448709999999,0.772042692,0.05755160700000001,2020,20.593684,78.96288,Hinganghāt,68.0,64.96,56.0,1018.0,6.4,0.0
Malawi,145,3.538000107,0.70622263,0.544007301,0.575928879,0.803223193,0.731700778,0.021433279,2020,-13.254307999999998,34.301525,Ntchisi,67.95,65.82,58.0,1013.0,5.21,60.0
Yemen,146,3.527400017,0.77596827,0.817980587,0.567272835,0.599920273,0.800287724,-0.157735437,2020,15.552726999999999,48.516388,Sayyan,51.94,45.5,46.0,1018.0,5.03,78.0
Botswana,147,3.478899956,0.97112036,0.7791217570000001,0.589244537,0.8213281040000001,0.777930915,-0.250394493,2020,-22.328474,24.684866,Mopipi,72.57,68.83,67.0,1014.0,13.13,93.0
Tanzania,148,3.476200104,0.79676652,0.6889331940000001,0.574960747,0.82153976,0.619799435,0.109668687,2020,-6.369028,34.888822,Kilimatinde,68.36,67.03,77.0,1015.0,8.75,97.0
Central African Republic,149,3.475899935,0.66251602,0.31945985600000004,0.452000008,0.640880644,0.891806662,0.082410358,2020,6.611110999999998,20.939444,Ippy,67.37,70.75,82.0,1012.0,0.94,62.0
Rwanda,150,3.312299967,0.76001043,0.54083544,0.610988464,0.9005894059999999,0.183541179,0.055483952,2020,-1.940278,29.873888,Gitarama,64.4,68.16,100.0,1020.0,2.24,40.0
Zimbabwe,151,3.2992000580000003,0.78657117,0.7630927559999999,0.5561726,0.711457908,0.81023699,-0.072063953,2020,-19.015438,29.154857,Redcliffe,78.03,72.77,47.0,1018.0,12.75,20.0
